reward, 2836.0 , action, 618 , 5 , 517 , 20 , 221 , 226 , 9 , QWER 64 , 33 , 0 , 16 , count= 1
reward, 3088.0 , action, 579 , 0 , 688 , 0 , 279 , 81 , 4 , QWER 110 , 87 , 16 , 28 , count= 2
reward, 2277.0 , action, 562 , 1 , 636 , 0 , 360 , 56 , 11 , QWER 147 , 122 , 16 , 49 , count= 3
reward, 3155.0 , action, 424 , 0 , 589 , 17 , 577 , 78 , 10 , QWER 211 , 148 , 16 , 59 , count= 4
reward, 2357.0 , action, 339 , 0 , 601 , 0 , 588 , 80 , 3 , QWER 260 , 148 , 16 , 70 , count= 5
reward, 3012.0 , action, 395 , 0 , 540 , 0 , 670 , 11 , 5 , QWER 319 , 167 , 16 , 96 , count= 6
reward, 3676.0 , action, 466 , 0 , 638 , 0 , 431 , 84 , 2 , QWER 341 , 183 , 36 , 102 , count= 7
reward, 4260.0 , action, 638 , 10 , 522 , 0 , 442 , 25 , 4 , QWER 405 , 242 , 36 , 113 , count= 8
reward, 1508.0 , action, 426 , 0 , 510 , 0 , 576 , 78 , 1 , QWER 482 , 259 , 48 , 121 , count= 9
reward, 3113.0 , action, 377 , 1 , 709 , 0 , 490 , 65 , 4 , QWER 535 , 294 , 75 , 133 , count= 10
reward, 2589.0 , action, 858 , 51 , 452 , 0 , 602 , 52 , 13 , QWER 578 , 343 , 75 , 141 , count= 11
reward, 2865.0 , action, 411 , 0 , 497 , 0 , 671 , 20 , 17 , QWER 669 , 380 , 75 , 160 , count= 12
reward, 3886.0 , action, 617 , 1 , 521 , 0 , 433 , 35 , 4 , QWER 714 , 411 , 75 , 169 , count= 13
reward, 3634.0 , action, 409 , 1 , 590 , 0 , 535 , 76 , 10 , QWER 798 , 472 , 92 , 178 , count= 14
reward, 2991.0 , action, 544 , 0 , 615 , 0 , 402 , 37 , 8 , QWER 808 , 472 , 114 , 186 , count= 15
reward, 2693.0 , action, 252 , 1 , 559 , 0 , 674 , 105 , 10 , QWER 905 , 522 , 114 , 197 , count= 16
reward, 3756.0 , action, 359 , 3 , 779 , 0 , 393 , 80 , 7 , QWER 966 , 580 , 114 , 205 , count= 17
reward, 1735.0 , action, 300 , 0 , 703 , 0 , 527 , 93 , 3 , QWER 1054 , 628 , 114 , 214 , count= 18
reward, 3507.0 , action, 792 , 47 , 716 , 0 , 468 , 80 , 18 , QWER 1122 , 693 , 128 , 225 , count= 19
reward, 2857.0 , action, 392 , 0 , 723 , 0 , 364 , 130 , 2 , QWER 1193 , 746 , 128 , 225 , count= 20
