reward, 294.0 , action, 587 , 8 , 414 , 0 , 526 , 88 , 8 , count= 1
reward, 2760.0 , action, 442 , 2 , 512 , 0 , 605 , 61 , 9 , count= 2
reward, 1067.0 , action, 342 , 3 , 610 , 0 , 551 , 88 , 7 , count= 3
reward, 3609.0 , action, 492 , 1 , 703 , 0 , 268 , 201 , 15 , count= 4
reward, 584.0 , action, 386 , 0 , 585 , 0 , 162 , 109 , 13 , count= 5
reward, 3462.0 , action, 406 , 4 , 497 , 0 , 561 , 159 , 9 , count= 6
reward, 2256.0 , action, 370 , 3 , 410 , 0 , 517 , 65 , 20 , count= 7
reward, 5067.0 , action, 454 , 3 , 699 , 0 , 397 , 107 , 15 , count= 8
reward, 647.0 , action, 520 , 0 , 350 , 0 , 653 , 67 , 6 , count= 9
reward, 4243.0 , action, 553 , 1 , 580 , 0 , 461 , 75 , 5 , count= 10
reward, 542.0 , action, 883 , 3 , 390 , 0 , 267 , 39 , 9 , count= 11
reward, 1067.0 , action, 617 , 3 , 472 , 0 , 360 , 172 , 22 , count= 12
reward, 3441.0 , action, 455 , 22 , 648 , 0 , 440 , 104 , 11 , count= 13
reward, 1571.0 , action, 442 , 0 , 620 , 0 , 322 , 239 , 8 , count= 14
reward, 4151.0 , action, 386 , 8 , 750 , 0 , 387 , 105 , 15 , count= 15
reward, 63.0 , action, 428 , 2 , 455 , 0 , 363 , 363 , 20 , count= 16
reward, 1172.0 , action, 592 , 0 , 326 , 0 , 614 , 50 , 9 , count= 17
reward, 966.0 , action, 475 , 5 , 480 , 0 , 617 , 35 , 14 , count= 18
reward, 1651.0 , action, 512 , 0 , 703 , 0 , 270 , 132 , 19 , count= 19
reward, 1756.0 , action, 611 , 13 , 429 , 0 , 469 , 79 , 0 , count= 20
reward, 689.0 , action, 733 , 10 , 478 , 0 , 285 , 89 , 6 , count= 21
reward, 1630.0 , action, 313 , 0 , 992 , 0 , 248 , 50 , 13 , count= 22
reward, 1256.0 , action, 708 , 0 , 266 , 0 , 568 , 53 , 1 , count= 23
reward, 3987.0 , action, 415 , 7 , 557 , 0 , 585 , 99 , 7 , count= 24
reward, 1630.0 , action, 673 , 6 , 361 , 0 , 342 , 215 , 4 , count= 25
reward, 5067.0 , action, 476 , 2 , 597 , 0 , 431 , 166 , 8 , count= 26
reward, 777.0 , action, 581 , 11 , 218 , 0 , 700 , 79 , 7 , count= 27
reward, 2403.0 , action, 375 , 0 , 726 , 0 , 412 , 114 , 19 , count= 28
reward, 2668.0 , action, 467 , 25 , 638 , 0 , 335 , 223 , 12 , count= 29
reward, 693.0 , action, 557 , 4 , 394 , 0 , 540 , 100 , 1 , count= 30
reward, 609.0 , action, 438 , 6 , 791 , 0 , 306 , 51 , 4 , count= 31
reward, 2084.0 , action, 978 , 0 , 367 , 0 , 131 , 130 , 0 , count= 32
reward, 1546.0 , action, 588 , 7 , 548 , 0 , 398 , 44 , 11 , count= 33
reward, 1315.0 , action, 661 , 3 , 459 , 0 , 389 , 96 , 3 , count= 34
reward, 609.0 , action, 767 , 3 , 459 , 0 , 285 , 92 , 5 , count= 35
reward, 714.0 , action, 545 , 0 , 680 , 0 , 317 , 61 , 3 , count= 36
reward, 378.0 , action, 381 , 3 , 608 , 0 , 390 , 217 , 2 , count= 37
reward, 525.0 , action, 521 , 1 , 723 , 0 , 252 , 109 , 5 , count= 38
reward, 2239.0 , action, 370 , 1 , 640 , 0 , 486 , 113 , 6 , count= 39
reward, 1584.0 , action, 503 , 0 , 454 , 0 , 404 , 241 , 4 , count= 40
reward, 1466.0 , action, 433 , 0 , 646 , 0 , 458 , 73 , 1 , count= 41
reward, 2928.0 , action, 290 , 0 , 389 , 0 , 462 , 167 , 16 , count= 42
reward, 941.0 , action, 533 , 7 , 503 , 0 , 270 , 282 , 1 , count= 43
