reward, 3218.0 , 1017 , 1 , 633 , 0 , 366 , 59 , 6 , count= 1
reward, 1004.0 , 151 , 0 , 300 , 0 , 1128 , 15 , 7 , count= 2
reward, 2172.0 , 803 , 0 , 504 , 0 , 273 , 34 , 2 , count= 3
reward, 1067.0 , 944 , 0 , 271 , 0 , 390 , 10 , 6 , count= 4
reward, 84.0 , 211 , 0 , 176 , 0 , 1208 , 1 , 0 , count= 5
reward, 500.0 , 1372 , 0 , 203 , 0 , 38 , 7 , 6 , count= 6
reward, 2147.0 , 402 , 0 , 474 , 0 , 145 , 332 , 10 , count= 7
reward, 147.0 , 78 , 0 , 95 , 0 , 1417 , 1 , 0 , count= 8
reward, 5823.0 , 252 , 0 , 810 , 0 , 481 , 71 , 2 , count= 9
reward, 126.0 , 597 , 0 , 142 , 0 , 861 , 6 , 5 , count= 10
reward, 84.0 , 1324 , 0 , 117 , 0 , 150 , 5 , 5 , count= 11
reward, 2903.0 , 412 , 0 , 866 , 0 , 309 , 59 , 5 , count= 12
reward, 563.0 , 1358 , 0 , 221 , 0 , 26 , 4 , 2 , count= 13
reward, 1088.0 , 936 , 0 , 326 , 0 , 343 , 29 , 2 , count= 14
reward, 500.0 , 300 , 0 , 491 , 0 , 112 , 131 , 7 , count= 15
reward, 84.0 , 687 , 0 , 366 , 0 , 128 , 171 , 8 , count= 16
reward, 1630.0 , 1006 , 0 , 369 , 0 , 212 , 53 , 1 , count= 17
reward, 126.0 , 703 , 0 , 527 , 0 , 305 , 80 , 6 , count= 18
reward, 3651.0 , 533 , 0 , 618 , 0 , 370 , 90 , 10 , count= 19
reward, 2239.0 , 631 , 0 , 972 , 0 , 379 , 59 , 6 , count= 20
reward, 1588.0 , 750 , 0 , 569 , 0 , 279 , 25 , 8 , count= 21
reward, 546.0 , 257 , 0 , 400 , 0 , 923 , 9 , 2 , count= 22
reward, 563.0 , 1010 , 0 , 312 , 0 , 142 , 142 , 5 , count= 23
reward, 773.0 , 632 , 0 , 592 , 0 , 332 , 61 , 4 , count= 24
reward, 836.0 , 813 , 0 , 524 , 0 , 218 , 84 , 7 , count= 25
reward, 1878.0 , 453 , 0 , 646 , 0 , 475 , 55 , 22 , count= 26
reward, 0.0 , 1456 , 0 , 111 , 0 , 26 , 0 , 3 , count= 27
